,Unnamed: 0,Team/Year,eFGPct,TOPct,ORPct,FTRate
1546,1546,2021 Georgia,50.7124352331606,21.4958871992782,32.7939590075512,34.3911917098446
1547,1547,2021 Georgia Southern,47.9527559055118,21.4205830251676,30.4079110012361,29.1338582677165
1548,1548,2021 Georgia St.,51.2581168831169,16.9086501548522,30.8743169398907,32.6298701298701
1549,1549,2021 Georgia Tech,54.0647719762062,16.0586973073995,24.3757431629013,28.4203569068077
1550,1550,2021 Gonzaga,61.0178117048346,16.1279343153221,30.0706357214934,35.7251908396947
1551,1551,2021 Grambling St.,47.7689243027888,21.648186813601,26.2273901808786,41.8326693227092
1552,1552,2021 Grand Canyon,52.5213675213675,19.9651147189051,33.5745296671491,33.4188034188034
1553,1553,2021 Green Bay,49.1705374917054,15.4485610297126,25.9593679458239,27.2727272727273
1554,1554,2021 Hampton,49.5128740431454,18.1633847867373,22.234762979684,28.6012526096033
1555,1555,2021 Hartford,49.9233716475096,19.6182231495033,24.6835443037975,28.5823754789272
1557,1557,2021 Hawaii,50.5550416281221,19.7765555832359,29.1472868217054,30.3422756706753
1558,1558,2021 High Point,45.7658321060383,18.6270968931785,31.9221967963387,38.2916053019146
1559,1559,2021 Hofstra,50.8196721311475,17.4461475705612,29.1616038882139,33.1594634873323
1560,1560,2021 Holy Cross,50.3154574132492,18.2942397566689,26.4084507042254,26.0778128286015
1561,1561,2021 Houston,50.3727369542066,16.1933325927846,39.8214285714286,31.2566560170394
1562,1562,2021 Houston Baptist,48.7368421052632,22.5871828918862,25.7990867579909,28.2105263157895
1563,1563,2021 Howard,51.0917030567686,18.4599606871208,20.4081632653061,37.117903930131
1564,1564,2021 IUPUI,48.9710009354537,19.1115060822368,25.4160363086233,30.4957904583723
1565,1565,2021 Idaho,48.5436893203884,24.0040006667778,21.9653179190751,29.567519858782
1566,1566,2021 Idaho St.,47.1649484536082,23.4955646128027,30.7692307692308,38.659793814433
1567,1567,2021 Illinois,55.5525013743815,18.1363247073838,32.20675944334,37.9329301814184
1568,1568,2021 Illinois Chicago,49.7309761721752,18.8148579187276,23.6875800256082,22.7517294388932
1569,1569,2021 Illinois St.,50.3945480631277,19.2884761805234,23.7247924080664,23.6728837876614
1570,1570,2021 Incarnate Word,50.3489531405783,20.6207627736871,22.9534510433387,32.5024925224327
1571,1571,2021 Indiana,48.5430463576159,17.2217839521855,25.496342737722,41.4569536423841
1572,1572,2021 Indiana St.,48.8591660110149,18.3286881761066,25.2229299363057,36.3493312352478
1573,1573,2021 Iona,50.6930693069307,22.4772835963654,32.5619834710744,34.4554455445545
1574,1574,2021 Iowa,54.742478327384,13.3341648288725,30.8031774051192,31.9734829168791
1575,1575,2021 Iowa St.,48.0184005661713,21.0879180111199,24.3211334120425,19.6036801132343
1576,1576,2021 Jackson St.,44.5219123505976,21.1273095813518,29.0769230769231,42.0318725099602
1577,1577,2021 Jacksonville,48.790658882402,20.0431622553519,24.7368421052632,34.278565471226
1578,1578,2021 Jacksonville St.,52.3578363384189,19.8596429923415,32.3255813953488,30.9292649098474
1579,1579,2021 James Madison,50.503524672709,16.6863601335731,27.8740157480315,40.8862034239678
1580,1580,2021 Kansas,49.4279176201373,17.089901029222,30.5372290292177,29.8054919908467
1581,1581,2021 Kansas St.,47.2149410222805,22.3495277652492,29.8647242455775,27.916120576671
1582,1582,2021 Kennesaw St.,45.7656116338751,20.605633923742,24.1011984021305,30.6244653550043
1583,1583,2021 Kent St.,50.849963045085,19.3114693822088,34.2239185750636,28.0857354028086
1584,1584,2021 Kentucky,47.0867208672087,19.7565808095103,32.6441784548422,34.4850948509485
1585,1585,2021 LIU,47.2727272727273,19.3087252700146,32.9218106995885,31.1688311688312
1586,1586,2021 LSU,52.276467361492,15.5599697313659,31.4447592067989,33.9550191991223
1587,1587,2021 La Salle,50.1078360891445,20.6927910669161,26.8496420047733,24.2990654205607
1588,1588,2021 Lafayette,50.5926724137931,14.9835112433786,23.7076648841355,30.2801724137931
1589,1589,2021 Lamar,45.9888059701493,20.094892548144,26.3467189030362,30.8457711442786
1590,1590,2021 Lehigh,47.1143174250832,18.1731783359025,24.9090909090909,27.857935627081
1591,1591,2021 Liberty,56.86994856723,16.0116223359041,23.2118758434548,25.4224834680382
1592,1592,2021 Lipscomb,51.1684125705077,17.4082014469363,23.209549071618,36.5028203062047
1593,1593,2021 Little Rock,50.4484304932735,22.393934975944,31.1414392059553,37.6681614349776
1594,1594,2021 Long Beach St.,50.6214149139579,20.9643224356466,23.2704402515723,37.6673040152964
1595,1595,2021 Longwood,49.8689384010485,19.7789020553621,27.6729559748428,31.5858453473132
1596,1596,2021 Louisiana,50.2764340013822,20.3641833355028,32.2014051522248,30.062197650311
1597,1597,2021 Louisiana Monroe,48.224043715847,19.1357762586161,22.8729281767956,25.068306010929
1598,1598,2021 Louisiana Tech,50.5301339285714,18.1649718031137,26.8953068592058,34.8214285714286
1599,1599,2021 Louisville,47.7748691099476,17.2355398336658,32.0056899004267,32.1116928446771
1600,1600,2021 Loyola Chicago,55.6765676567657,18.2694061767349,27.0783847980998,31.4851485148515
1601,1601,2021 Loyola MD,51.1088709677419,20.1685514658215,31.3114754098361,35.383064516129
1602,1602,2021 Loyola Marymount,51.6564952048823,23.4361307014981,32.5443786982249,41.3251961639058
1603,1603,2021 Maine,45.1327433628319,25.0180827979407,23.8255033557047,27.212389380531
1604,1604,2021 Manhattan,42.618025751073,20.6863114798255,31.9496855345912,35.450643776824
1605,1605,2021 Marist,49.0566037735849,21.4290119921403,22.9651162790698,31.5363881401617
1606,1606,2021 Marquette,50.5727762803235,20.9253254413936,29.1196388261851,35.0404312668464
1607,1607,2021 Marshall,54.8480463096961,16.2602882646161,23.828125,24.1678726483357
1608,1608,2021 Maryland,53.1585596967783,16.7146533493006,20.6417112299465,31.838281743525
1610,1610,2021 Massachusetts,50.0,16.3501813567506,24.2857142857143,34.2391304347826
1611,1611,2021 McNeese St.,53.1468531468531,23.0256121040042,27.0408163265306,30.6693306693307
1612,1612,2021 Memphis,50.9331727874774,21.6567138290755,33.563672260612,32.691149909693
1613,1613,2021 Mercer,54.3197936814958,18.025354942042,26.0668973471742,24.7582205029014
1614,1614,2021 Merrimack,51.3960703205791,19.8847496144793,20.8403361344538,31.023784901758
1615,1615,2021 Miami FL,47.3753280839895,18.4154581522254,27.0327349524815,32.8083989501312
1616,1616,2021 Miami OH,50.4954268292683,16.270327490352,27.9279279279279,25.4573170731707
1617,1617,2021 Michigan,54.6933667083855,16.567829482847,29.6296296296296,30.3504380475595
1618,1618,2021 Michigan St.,48.0733944954128,18.7787372073077,30.4914744232698,31.3149847094801
1619,1619,2021 Middle Tennessee,45.3784860557769,21.6621808987848,24.8780487804878,24.8605577689243
1620,1620,2021 Milwaukee,49.5178041543027,15.2712365633459,24.2682926829268,33.160237388724
1621,1621,2021 Minnesota,45.0111482720178,15.592853275582,29.1845493562232,36.7335562987737
1622,1622,2021 Mississippi,48.708254568368,20.7055467888576,34.7336065573771,34.2155009451796
1623,1623,2021 Mississippi St.,50.1875669882101,22.1204297493129,35.778175313059,33.7084673097535
1624,1624,2021 Mississippi Valley St.,43.6431226765799,24.2732866539359,18.1034482758621,24.6840148698885
1625,1625,2021 Missouri,50.7682030728123,18.742213314555,28.5238623751387,37.0741482965932
1626,1626,2021 Missouri St.,54.156378600823,18.2021235810845,23.8439306358381,30.6172839506173
1627,1627,2021 Monmouth,48.531810766721,17.6648458033632,25.7142857142857,38.1729200652529
1628,1628,2021 Montana,48.858075040783,19.4499800717417,22.7830832196453,35.8890701468189
1629,1629,2021 Montana St.,49.6533795493934,17.8068163545114,24.1581259150805,40.2946273830156
1630,1630,2021 Morehead St.,52.2236756049706,23.0983976442694,31.4316469321851,36.2328319162852
1631,1631,2021 Morgan St.,48.6509274873524,20.7372871035647,34.5060893098782,37.5210792580101
1632,1632,2021 Mount St. Mary's,48.5898468976632,20.0870778205182,31.3299232736573,29.8146655922643
1633,1633,2021 Murray St.,54.6794399410464,19.322180381505,27.599486521181,26.0869565217391
1634,1634,2021 N.C. State,52.9845505617978,18.7536970635274,29.6476306196841,31.1095505617978
1635,1635,2021 NJIT,45.9099264705882,16.1870675256502,24.1428571428571,34.1911764705882
1636,1636,2021 Navy,50.0479846449136,18.1731131643016,32.2274881516588,33.0134357005758
1637,1637,2021 Nebraska,48.2352941176471,19.6090059103758,23.0691056910569,30.9803921568627
1638,1638,2021 Nebraska Omaha,46.285140562249,18.1368164895277,23.1852654387866,29.1834002677376
1639,1639,2021 Nevada,51.264450867052,18.3779464642429,24.2890995260664,38.9450867052023
1640,1640,2021 New Hampshire,45.3333333333333,16.3111411651401,27.3121387283237,32.7619047619048
1641,1641,2021 New Mexico,43.9288811795317,21.6112682164379,31.9843342036554,32.8707718993929
1642,1642,2021 New Mexico St.,49.3820803295572,18.3222561523262,34.3003412969283,30.9989701338826
1643,1643,2021 New Orleans,52.2614840989399,22.3083913124909,29.3167701863354,33.0742049469965
1644,1644,2021 Niagara,46.5878070973612,15.1658045402151,23.4285714285714,34.5768880800728
1645,1645,2021 Nicholls St.,51.0409889394925,17.6803591845841,28.9274106175515,27.7813923227066
1646,1646,2021 Norfolk St.,48.6813186813187,17.5747453317083,27.7647058823529,37.0695970695971
1647,1647,2021 North Alabama,48.1529209621993,20.2770492668931,26.0689655172414,28.2646048109966
1648,1648,2021 North Carolina,48.302300109529,20.3475437436113,40.9131602506714,34.1730558598029
1649,1649,2021 North Carolina A&T,45.4228421970357,18.6508503644419,27.5862068965517,35.8326068003487
1650,1650,2021 North Carolina Central,46.8706536856745,21.392448908902,26.4069264069264,34.4923504867872
1651,1651,2021 North Dakota,49.3810178817056,18.6999415626826,23.5229759299781,34.5942228335626
1652,1652,2021 North Dakota St.,50.3688799463447,18.7187616819195,28.6674132138858,33.6016096579477
1653,1653,2021 North Florida,52.6678141135972,21.5311213834445,25.8249641319943,25.3872633390706
1654,1654,2021 North Texas,53.8461538461538,19.7772220959309,27.9411764705882,26.957726957727
1655,1655,2021 Northeastern,51.581975071908,19.5284454783033,20.16,26.07861936721
1656,1656,2021 Northern Arizona,47.9949874686717,17.922325058386,23.7650200267023,30.4093567251462
1657,1657,2021 Northern Colorado,51.252408477842,20.6045921530845,24.7226624405705,32.2736030828516
1658,1658,2021 Northern Illinois,44.4444444444444,20.237068338874,32.6666666666667,23.8845144356955
1659,1659,2021 Northern Iowa,50.0375939849624,19.0742984844431,26.3736263736264,26.4661654135338
1660,1660,2021 Northern Kentucky,50.6436314363144,18.5703231950479,34.9369988545246,27.7777777777778
1661,1661,2021 Northwestern,50.2641509433962,17.1993604569938,19.8726114649682,26.7924528301887
1662,1662,2021 Northwestern St.,48.8656195462478,19.5266236616026,26.1682242990654,30.0756253635835
1663,1663,2021 Notre Dame,53.8877620013523,15.6975790052016,21.9741480611046,25.895875591616
1664,1664,2021 Oakland,48.6522911051213,17.8232753696045,29.95670995671,33.2075471698113
1665,1665,2021 Ohio,54.6864231564438,17.0731529055787,28.641370869033,29.2901447277739
1666,1666,2021 Ohio St.,52.9115341545353,15.5146599389317,29.3269230769231,37.1780515117581
1667,1667,2021 Oklahoma,50.7975460122699,15.6555772994129,26.9628099173554,29.3251533742331
1668,1668,2021 Oklahoma St.,51.1797752808989,20.9553020720227,31.3559322033898,37.5842696629214
1669,1669,2021 Old Dominion,48.6410871302958,18.4977996568957,27.8067885117493,31.3349320543565
1670,1670,2021 Oral Roberts,53.0169704588309,15.4820363617215,22.6579520697168,27.906976744186
1671,1671,2021 Oregon,54.2372881355932,16.7374993441419,29.1208791208791,25.9685230024213
1672,1672,2021 Oregon St.,48.9577464788732,17.6302826030594,29.8797409805735,34.8732394366197
1673,1673,2021 Pacific,47.8070175438597,16.6089965397924,27.3809523809524,26.8031189083821
1675,1675,2021 Penn St.,47.8553137003841,16.2620117131972,31.9037656903766,27.8489116517286
1676,1676,2021 Pepperdine,51.2449528936743,17.6859515410386,23.6933797909408,31.8304172274563
1677,1677,2021 Pittsburgh,48.8299531981279,18.3218268720127,34.487021013597,36.8954758190328
1678,1678,2021 Portland,46.2635201573255,19.0454510964413,17.8125,33.9233038348083
1679,1679,2021 Portland St.,44.4128787878788,20.037223300202,30.5322128851541,34.5643939393939
1680,1680,2021 Prairie View A&M,50.3162055335968,19.411422746076,30.880420499343,26.8774703557312
1681,1681,2021 Presbyterian,46.6784765279008,23.1259256615692,32.6474622770919,35.1638618246236
1683,1683,2021 Providence,48.3322432962721,17.1771392485002,29.1313559322034,31.5892740353172
1684,1684,2021 Purdue,51.0338345864662,18.6395771478784,32.8108672936259,31.7042606516291
1685,1685,2021 Purdue Fort Wayne,58.220810166799,23.6873629726736,26.1834319526627,30.1826846703733
1686,1686,2021 Quinnipiac,46.8600953895072,19.4244046233807,21.1706102117061,35.3736089030207
1687,1687,2021 Radford,50.5058365758755,23.2731250094946,33.375156838143,40.2334630350195
1688,1688,2021 Rhode Island,49.1991643454039,19.709521848675,29.96632996633,38.857938718663
1689,1689,2021 Rice,52.6388888888889,20.3399433427762,26.1737089201878,26.25
1690,1690,2021 Richmond,53.0555555555556,14.9717237095878,20.3059805285118,31.3492063492063
1691,1691,2021 Rider,48.2928679817906,18.3263795953712,26.1753494282084,28.9833080424886
1692,1692,2021 Robert Morris,50.5,18.9728875095157,29.500756429652,26.0909090909091
1693,1693,2021 Rutgers,50.0605326876513,16.7526697936577,27.6938569989929,27.1186440677966
1694,1694,2021 SIU Edwardsville,49.2193308550186,22.9115845980039,26.602176541717,33.1598513011152
1695,1695,2021 SMU,52.1521521521522,19.7789412449098,30.0854700854701,31.2312312312312
1696,1696,2021 Sacramento St.,50.5847953216374,14.8605277551315,24.4766505636071,31.4814814814815
1697,1697,2021 Sacred Heart,48.0401529636711,18.6661325856199,29.607250755287,33.5564053537285
1698,1698,2021 Saint Joseph's,48.5864297253635,18.6791637584339,21.7898832684825,26.7366720516963
1699,1699,2021 Saint Louis,51.5760441292356,17.7603565946598,35.8413132694938,29.7872340425532
1700,1700,2021 Saint Mary's,47.8195488721804,17.0323234241935,25.8227848101266,27.6691729323308
1701,1701,2021 Saint Peter's,45.5988455988456,21.8196788801976,30.3532008830022,32.6839826839827
1702,1702,2021 Sam Houston St.,50.3754266211604,20.2538827033544,29.3333333333333,29.9658703071672
1703,1703,2021 Samford,47.8644382544104,21.3744300636005,28.8059701492537,27.1123491179202
1704,1704,2021 San Diego,46.3990554899646,18.046956415129,20.8955223880597,25.6198347107438
1705,1705,2021 San Diego St.,52.3701298701299,16.6561758582288,30.0546448087432,33.2467532467532
1706,1706,2021 San Francisco,51.2203166226913,16.9110086927762,24.7797356828194,21.4379947229551
1707,1707,2021 San Jose St.,44.6990116801438,17.7745134043335,20.0,30.0089847259659
