seed,Team/Year,AdjTempo,AdjOE,AdjDE,AdjEM,OppeFGPct,OppTOPct,OppORPct,OppFTRate,eFGPct,TOPct,ORPct,FTRate
14.0,2002 McNeese St.,65.6792,103.553,97.8228,5.73024,46.0402,22.712,33.3649,40.352,49.1038,22.9615,37.4506,40.173
5.0,2002 Miami FL,68.5524,110.135,93.973,16.1625,45.5172,24.125,36.5617,34.5889,49.1855,20.0316,33.2192,35.628
10.0,2002 Michigan St.,62.9567,113.29,96.0881,17.2017,45.4624,17.1594,29.7587,32.4277,51.6324,23.0284,39.1485,34.7038
9.0,2002 Mississippi,64.2148,114.224,95.8383,18.3854,48.0831,23.3313,32.1212,40.5112,53.0554,22.6873,34.7872,42.3934
3.0,2002 Mississippi St.,67.6977,111.797,92.8341,18.9632,46.3803,22.1132,31.8731,28.9093,52.8753,23.6117,39.1267,39.2875
12.0,2002 Missouri,68.7099,115.323,100.214,15.1086,49.2941,20.0369,33.3838,36.2353,52.996,19.959,39.659,31.4692
15.0,2002 Montana,68.3682,102.418,106.604,-4.18602,50.5751,19.3396,33.6511,41.5254,51.4085,21.1651,28.5862,43.5339
14.0,2002 Murray St.,68.8517,106.304,105.225,1.07887,50.4635,21.0228,32.6107,41.2514,49.0201,20.0085,40.5797,28.984
7.0,2002 North Carolina St.,67.2156,112.169,93.9116,18.2573,48.8391,23.5632,30.6437,40.2985,52.4607,19.087,30.9711,38.9005
8.0,2002 Notre Dame,68.1446,115.319,97.5508,17.7678,45.0614,19.6631,33.5849,26.4865,51.4736,18.5731,35.672,34.0447
4.0,2002 Ohio St.,66.4133,116.892,96.0636,20.8285,49.2836,22.4724,31.5068,36.3582,53.6134,19.7102,35.707,46.7098
2.0,2002 Oklahoma,65.8584,113.306,88.4422,24.8637,44.898,23.2349,31.7073,42.1939,49.4958,17.0283,40.0738,31.3897
7.0,2002 Oklahoma St.,65.7045,107.591,91.8978,15.6932,45.4595,22.7888,33.1936,30.1251,49.3022,22.0639,41.4655,38.0032
2.0,2002 Oregon,70.5594,119.924,95.8006,24.1236,47.7799,20.2365,32.5545,32.4516,56.1759,18.4544,33.9044,41.6008
11.0,2002 Penn,65.1685,109.308,96.9278,12.3806,46.7213,21.3566,31.6163,30.3561,55.7319,19.7174,26.7137,35.8025
10.0,2002 Pepperdine,72.4766,110.976,98.2587,12.7171,47.5166,22.988,37.0719,41.4459,51.2284,19.363,33.9441,33.7167
3.0,2002 Pittsburgh,63.3188,111.804,92.5312,19.2728,44.1662,22.029,30.5271,31.3371,52.5836,21.0546,38.796,38.0446
13.0,2002 San Diego St.,69.7602,106.815,96.454,10.3606,48.2242,20.7616,31.3692,44.6726,50.8681,21.458,34.982,39.8264
16.0,2002 Siena,66.0443,100.099,101.835,-1.73585,45.5202,20.7979,31.7438,40.9441,47.8474,21.5016,31.0185,36.8885
11.0,2002 Southern Illinois,70.9955,108.06,95.3563,12.7039,45.3892,21.628,32.3682,42.1418,51.3475,19.4219,36.1527,41.6076
9.0,2002 St. John's,68.7905,101.956,92.6749,9.28117,47.1971,25.7025,36.339,42.0159,43.702,20.8725,38.4198,41.5259
8.0,2002 Stanford,69.5528,116.857,95.8058,21.0509,47.3219,16.9628,29.0606,37.0513,50.768,18.8527,40.0719,44.5968
6.0,2002 Texas,68.8534,116.036,99.5269,16.5086,49.7544,20.1856,34.1772,34.7741,50.0477,19.1969,41.0016,38.8359
6.0,2002 Texas Tech,69.7493,114.262,96.9368,17.3249,47.0843,20.9877,36.838,23.9036,50.2251,17.0043,34.4856,38.4192
12.0,2002 Tulsa,69.5823,114.383,99.1584,15.2246,48.1137,21.0734,31.8371,32.9716,54.0021,18.0933,32.4955,36.275
14.0,2002 UC Santa Barbara,63.1683,107.66,98.0668,9.59321,45.1336,18.4607,29.6262,39.2494,51.6344,21.1956,32.0838,41.0941
8.0,2002 UCLA,67.0304,113.259,97.9373,15.3217,49.6265,19.4224,33.2788,28.1873,53.0073,21.3603,36.022,33.9435
13.0,2002 UNC Wilmington,63.0568,106.032,95.3145,10.7173,46.2888,24.0205,34.4798,36.3636,49.6118,18.7602,33.2149,36.3283
4.0,2002 USC,69.4315,112.82,90.9967,21.8232,48.4765,23.7361,32.463,39.0582,48.9336,16.8436,36.4,33.2525
12.0,2002 Utah,61.8472,111.442,96.1611,15.2805,48.7537,20.8215,28.5215,41.2024,54.4956,20.9921,29.4964,41.9591
13.0,2002 Valparaiso,68.1911,111.344,97.2123,14.1322,47.9857,24.2044,34.3426,32.4503,51.6484,19.1322,36.0067,38.1999
7.0,2002 Wake Forest,69.4424,117.448,100.767,16.6817,50.1176,19.4939,34.0651,33.4431,53.5339,19.8534,36.6834,35.3868
9.0,2002 Western Kentucky,67.0926,110.535,95.2192,15.3154,47.2106,22.6242,29.7753,35.4529,53.5858,20.7666,36.284,34.825
16.0,2002 Winthrop,65.6142,97.1532,102.197,-5.04399,45.6467,21.2455,30.5263,40.694,46.9902,21.1952,34.7349,39.9877
8.0,2002 Wisconsin,63.0111,109.705,96.4136,13.2916,51.4581,21.0833,30.4752,30.4982,49.7531,19.8373,30.964,39.0123
11.0,2002 Wyoming,69.059,108.19,97.3391,10.8511,46.4348,18.7361,26.6726,37.6232,49.5546,20.4224,35.7622,48.5748
7.0,2002 Xavier,66.4403,111.243,92.5336,18.7095,44.3972,20.0465,33.3611,26.2878,50.5485,20.2326,36.8371,45.3233
10.0,2003 Alabama,65.5541,110.57,95.1017,15.468,47.5671,20.6019,32.2388,31.5658,47.5802,19.7695,37.5723,36.4186
1.0,2003 Arizona,73.0165,115.311,88.8866,26.4243,45.7652,21.696,32.204,26.949,51.4922,19.0144,39.2726,36.8072
10.0,2003 Arizona St.,66.8633,113.116,96.3758,16.7407,49.8852,21.7885,32.6896,37.3134,51.2662,19.5408,38.6157,45.3573
10.0,2003 Auburn,66.7988,107.32,94.4324,12.8881,47.8377,22.8948,35.6834,29.5782,51.8437,23.3848,36.8692,35.333
13.0,2003 Austin Peay,64.2385,101.166,98.0055,3.16008,48.6588,20.3904,32.8522,32.252,50.8219,22.4295,31.4564,45.8904
12.0,2003 BYU,65.663,110.537,92.3283,18.2088,45.6734,21.8468,29.5383,46.3742,52.63,20.5256,34.3113,45.6469
12.0,2003 Butler,58.7876,115.085,99.7088,15.3765,49.7273,19.97,34.5114,28.1818,55.6487,17.3765,28.6805,32.5264
8.0,2003 California,66.1487,109.401,95.8149,13.5863,49.5585,21.0058,31.8286,30.3532,52.0352,19.7701,32.8511,33.0583
11.0,2003 Central Michigan,71.9146,109.867,99.5025,10.3641,50.4185,22.4002,33.8297,37.3884,56.5974,25.2949,35.6253,46.9762
8.0,2003 Cincinnati,66.3686,105.459,90.1252,15.3334,45.6975,20.584,31.8826,38.3964,43.668,15.7196,33.1418,34.9686
10.0,2003 Colorado,69.8746,109.283,93.4129,15.8705,45.5941,17.4081,32.0199,29.604,48.4176,19.4535,37.7897,38.7443
14.0,2003 Colorado St.,67.1579,111.597,105.323,6.27421,49.4941,17.8332,34.2884,39.4042,54.0816,23.6055,36.2334,46.3822
5.0,2003 Connecticut,71.1085,111.73,93.3341,18.3956,42.718,17.8697,35.396,32.282,51.6286,20.9649,40.0905,35.7803
6.0,2003 Creighton,68.4145,113.03,94.7202,18.3096,47.8446,24.4096,32.196,30.6546,56.6973,19.5446,33.9691,34.6626
4.0,2003 Dayton,64.3077,116.878,101.035,15.8425,48.0565,18.2184,34.218,30.8009,51.9841,20.3739,40.4277,40.9646
3.0,2003 Duke,71.0877,116.213,93.4116,22.8018,47.5436,24.4234,34.452,37.5594,51.4387,19.0602,36.973,45.2802
15.0,2003 East Tennessee St.,75.186,101.21,100.466,0.744035,49.6583,24.2194,36.1802,33.3713,49.7672,23.8531,37.2366,40.6286
2.0,2003 Florida,65.2411,117.327,93.6932,23.6341,47.4441,22.0587,33.1333,28.2748,55.3071,19.6425,33.037,33.028
9.0,2003 Gonzaga,67.2433,112.337,97.3823,14.9545,48.2525,20.5913,29.6485,32.3422,53.2556,20.2904,36.2506,44.6012
14.0,2003 Holy Cross,65.3578,105.034,94.8568,10.1775,46.025,23.2305,26.2136,35.3482,50.8844,20.989,37.9509,42.1352
16.0,2003 IUPUI,66.9628,103.059,102.298,0.761365,54.4027,24.0885,33.5738,33.9316,50.9518,23.0373,34.6562,42.2732
4.0,2003 Illinois,68.2411,114.14,89.1932,24.9472,43.251,21.6488,30.6114,37.6221,54.406,19.2536,31.934,33.6308
7.0,2003 Indiana,63.9859,113.046,98.4831,14.5633,45.6105,15.814,31.7334,33.1988,49.4327,17.4669,31.2996,41.0589
2.0,2003 Kansas,72.6511,114.003,86.9009,27.1016,46.0191,22.7397,30.4803,25.3412,52.6829,20.0666,39.5104,37.7384
1.0,2003 Kentucky,67.5518,116.802,87.0347,29.7672,46.7888,23.769,31.5363,32.4636,53.7583,20.0752,39.6918,35.2997
8.0,2003 LSU,67.5469,111.998,91.9602,20.0374,46.7634,22.9865,31.3078,29.2411,54.2445,20.4631,33.3823,35.8234
4.0,2003 Louisville,72.419,116.078,92.4271,23.6507,45.4622,23.704,33.3471,46.6106,53.2308,18.3362,35.6559,39.4872
14.0,2003 Manhattan,68.2203,105.641,95.6169,10.0239,46.0518,24.6579,34.2641,42.616,49.5376,19.6521,32.5703,41.0983
3.0,2003 Marquette,65.6828,118.833,97.6141,21.2188,47.269,18.0922,35.646,32.4655,53.5542,19.5182,40.2784,40.5665
6.0,2003 Maryland,71.7698,110.916,89.4227,21.493,43.3476,23.8741,33.4271,34.7103,51.701,18.8456,35.6613,33.6598
7.0,2003 Memphis,68.3304,111.304,93.4775,17.8261,45.7135,21.0164,31.8541,35.8458,49.309,19.4143,37.1239,37.8662
7.0,2003 Michigan St.,63.6011,108.72,90.9288,17.7907,45.8428,21.3928,27.4968,41.1765,50.2228,21.9616,34.1825,42.7298
12.0,2003 Milwaukee,71.2184,109.433,96.795,12.6377,49.2595,24.3456,33.0679,42.5355,53.5655,20.687,33.2401,37.1031
5.0,2003 Mississippi St.,65.1241,108.501,86.098,22.4034,45.8134,23.7685,29.986,28.4689,51.9499,23.1876,38.2916,31.6065
6.0,2003 Missouri,66.5071,111.397,93.7637,17.6329,45.8165,19.131,33.1218,30.9476,50.8423,20.1448,37.3312,30.6279
9.0,2003 North Carolina St.,65.1859,111.017,97.9831,13.034,49.427,21.6596,33.1017,39.7467,53.0797,21.0845,32.2514,38.285
5.0,2003 Notre Dame,69.2334,117.565,97.8837,19.6817,45.9783,17.6222,33.1126,25.5761,51.5085,18.0678,31.5279,36.7883
1.0,2003 Oklahoma,62.6863,112.913,89.4266,23.4861,45.3786,21.5133,29.5738,34.2428,51.1506,18.6599,36.5739,32.9498
6.0,2003 Oklahoma St.,66.5752,106.039,88.7021,17.3367,44.1176,24.5536,36.0571,36.9249,48.8081,21.5846,35.7705,40.407
8.0,2003 Oregon,71.0944,112.498,98.1497,14.3485,46.981,22.2017,35.4994,38.5229,52.9426,20.3079,33.1463,33.5949
11.0,2003 Penn,63.312,110.324,96.0575,14.2661,46.875,22.1845,28.31,34.1667,55.412,20.4652,31.5137,36.5224
2.0,2003 Pittsburgh,64.8023,113.295,86.1165,27.1788,44.0,23.612,28.5338,34.4,56.4553,22.4982,36.9863,42.3556
9.0,2003 Purdue,69.1792,106.758,90.7963,15.962,46.0255,23.2364,31.9315,37.0752,48.4728,19.951,31.0498,46.2431
7.0,2003 Saint Joseph's,64.4667,109.41,87.8141,21.5962,42.2209,23.0064,35.427,37.4008,51.5883,19.4321,33.6995,37.5687
15.0,2003 Sam Houston St.,67.1342,102.171,100.238,1.93338,44.2189,21.1244,33.7188,36.8389,51.1015,22.5601,32.7088,43.5915
13.0,2003 San Diego,70.81,104.732,96.3702,8.36166,48.9714,20.7597,30.1025,30.6857,52.8846,24.5428,34.6392,49.2949
16.0,2003 South Carolina St.,71.7419,96.5201,105.438,-8.91754,47.8492,23.7722,36.7952,42.4022,50.2078,26.6993,37.6587,46.437
